Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close(Rs.),Trade Volume,Share Volume,Turnover(Rs.)
2018-10-31,15.60,15.90,15.00,15.60,305,1123596,17515994.90
2018-10-30,15.80,16.10,15.60,15.80,457,2156033,34388740.60
2018-10-29,15.80,16.50,15.50,15.80,740,3064304,48652144.40
2018-10-26,13.80,14.20,13.80,13.80,30,31568,438820.00
2018-10-25,13.80,14.30,13.60,13.80,38,980873,13532888.80
2018-10-23,13.60,13.90,13.50,13.60,122,315210,4290595.50
2018-10-22,13.90,14.40,13.90,13.90,19,10784,150247.30
2018-10-19,14.00,14.10,13.90,14.00,25,125447,1755953.10
2018-10-18,14.00,14.00,13.90,14.00,51,556912,7793804.10
2018-10-17,13.90,14.00,13.90,13.90,69,1596154,22192976.00
2018-10-16,13.90,14.20,13.80,13.90,46,1969444,27569786.00
2018-10-15,14.00,14.50,13.70,14.00,50,26804,373795.00
2018-10-12,14.50,14.50,14.20,14.50,30,38325,551636.90
2018-10-11,14.30,14.50,14.30,14.30,35,56261,809718.40
2018-10-10,14.50,14.60,14.50,14.50,21,31607,458352.20
2018-10-09,14.50,14.60,14.40,14.50,10,5166,74597.00
2018-10-08,14.60,14.70,14.30,14.60,34,38362,557064.10
2018-10-05,14.50,14.70,14.20,14.50,67,79935,1150508.50
2018-10-04,14.10,14.30,14.00,14.10,25,50305,709323.80
2018-10-03,14.10,14.20,14.00,14.10,33,109723,1546890.60
2018-10-02,14.00,14.00,13.80,14.00,38,106199,1477888.20
2018-10-01,13.80,14.00,13.70,13.80,35,105168,1453653.40
2018-09-28,13.70,14.00,13.70,13.90,47,504888,7062043.80
2018-09-27,13.90,13.90,13.50,13.80,88,757729,10417430.10
2018-09-26,14.00,14.00,13.80,14.00,31,90172,1261783.00
2018-09-25,14.10,14.20,13.50,13.60,90,129133,1755337.50
2018-09-21,14.30,14.30,13.90,14.00,119,101831,1425777.50
2018-09-20,14.50,14.70,14.20,14.40,62,91706,1328194.60
2018-09-19,14.90,14.90,14.60,14.60,40,23758,348101.90
2018-09-18,14.90,14.90,14.60,14.60,75,108366,1588235.30
2018-09-17,15.20,15.30,14.80,14.90,29,23076,346290.20
2018-09-14,15.00,15.00,14.90,15.00,24,114062,1710630.00
2018-09-13,14.90,15.00,14.80,15.00,59,183410,2739001.10
2018-09-12,15.40,15.40,14.90,14.90,112,1290553,19356378.00
2018-09-11,15.30,15.40,15.10,15.10,13,2171,33088.70
2018-09-10,15.00,15.40,15.00,15.00,29,19665,296805.70
2018-09-07,15.10,15.40,14.90,15.00,92,424241,6369077.80
2018-09-06,15.40,15.50,15.00,15.00,119,166134,2531247.00
2018-09-05,15.40,15.40,15.00,15.00,91,166453,2502719.30
2018-09-04,15.40,15.50,15.10,15.20,64,49688,759789.70
2018-09-03,15.40,15.40,15.20,15.20,15,13157,200418.00
