Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close(Rs.),Trade Volume,Share Volume,Turnover(Rs.)
2018-10-31,117.90,120.00,114.00,117.90,122,1697456,193755938.40
2018-10-30,114.00,115.50,113.50,114.00,149,624882,71384973.30
2018-10-29,114.00,115.00,111.50,114.00,216,148364,16792483.70
2018-10-26,110.30,111.00,107.60,110.30,139,4734749,512770727.00
2018-10-25,107.80,109.00,107.50,107.80,109,144137,15567089.80
2018-10-23,108.50,109.00,108.20,108.50,57,12331,1338650.50
2018-10-22,108.90,109.00,108.60,108.90,12,3027,329791.00
2018-10-19,108.50,110.50,108.50,108.50,113,43960,4789820.40
2018-10-18,110.70,111.00,110.00,110.70,26,2553,281819.00
2018-10-17,110.00,111.90,109.90,110.00,115,914342,100582176.60
2018-10-16,110.00,112.70,109.50,110.00,103,46748,5145248.70
2018-10-15,110.10,112.00,110.00,110.10,96,39530,4359446.40
2018-10-12,111.60,112.70,111.00,111.60,68,25387,2837647.70
2018-10-11,112.50,112.90,111.10,112.50,48,26117,2925786.40
2018-10-10,112.60,113.90,112.10,112.60,49,7291,820703.10
2018-10-09,113.00,114.00,112.90,113.00,74,204695,23134643.30
2018-10-08,114.00,114.30,113.00,114.00,20,52219,5947928.00
2018-10-05,113.50,114.00,112.00,113.50,35,10699,1204168.50
2018-10-04,112.50,113.00,112.00,112.50,83,160246,18015255.80
2018-10-03,111.50,112.00,111.00,111.50,63,81946,9136526.30
2018-10-02,112.00,113.00,111.00,112.00,84,1405526,156022550.50
2018-10-01,112.50,113.90,112.00,112.50,39,3642,409987.70
2018-09-28,113.90,114.00,112.90,113.00,60,30971,3500331.00
2018-09-27,115.00,115.00,112.90,113.10,84,67432,7638552.10
2018-09-26,114.00,114.50,113.60,114.00,122,552271,62458249.10
2018-09-25,114.60,115.50,113.70,114.00,81,119942,13672869.30
2018-09-21,115.50,115.50,114.00,114.10,159,1684990,192120973.80
2018-09-20,117.00,117.00,115.20,115.30,65,17433,2014615.40
2018-09-19,116.50,119.00,116.00,116.40,101,614768,71625793.80
2018-09-18,119.50,119.50,116.50,116.50,114,178532,20907629.80
2018-09-17,120.00,120.00,119.50,119.50,28,8878,1064132.00
2018-09-14,120.50,120.60,119.50,119.80,119,630139,75665795.40
2018-09-13,121.60,122.00,120.30,121.00,39,5991,728295.80
2018-09-12,122.80,123.00,121.50,122.00,46,33263,4058724.40
2018-09-11,123.00,123.50,122.80,123.00,29,219188,26960189.50
2018-09-10,124.00,124.00,123.00,123.00,28,4846,598782.60
2018-09-07,123.70,124.00,123.50,123.90,15,5173,639732.90
2018-09-06,124.50,124.50,123.50,123.70,24,2564,317238.40
