Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close(Rs.),Trade Volume,Share Volume,Turnover(Rs.)
2018-10-31,230.00,231.00,228.10,230.00,142,222234,51106208.20
2018-10-30,230.30,234.00,230.00,230.30,261,358536,82516870.00
2018-10-29,230.00,240.40,229.00,230.00,405,277206,64499634.40
2018-10-26,231.90,235.00,223.00,231.90,150,55159,12550728.70
2018-10-25,222.50,224.00,222.00,222.50,31,60519,13438247.10
2018-10-23,224.10,227.00,220.20,224.10,40,12757,2858363.90
2018-10-22,220.00,226.00,219.50,220.00,61,35720,7864932.30
2018-10-19,220.00,225.00,219.50,220.00,148,224555,49402702.10
2018-10-18,224.80,228.00,220.00,224.80,77,59076,13029498.20
2018-10-17,220.00,233.00,219.90,220.00,243,395403,87146176.10
2018-10-16,222.10,227.00,218.50,222.10,191,154501,34277272.20
2018-10-15,218.90,225.00,218.00,218.90,312,353621,77829211.40
2018-10-12,225.00,230.00,225.00,225.00,208,217824,49056596.60
2018-10-11,228.80,236.50,228.00,228.80,363,819842,188668863.80
2018-10-10,236.70,239.50,236.50,236.70,137,208782,49642357.50
2018-10-09,239.00,244.40,239.00,239.00,73,92812,22187782.50
2018-10-08,239.90,244.00,239.00,239.90,87,84192,20131325.00
2018-10-05,240.60,243.90,237.70,240.60,85,92055,22046641.10
2018-10-04,238.00,242.00,238.00,238.00,72,143558,34209209.70
2018-10-03,238.90,240.00,237.00,238.90,57,24939,5940136.50
2018-10-02,238.10,239.20,237.50,238.10,45,33581,7995544.00
2018-10-01,237.60,239.20,237.50,237.60,78,61447,14623275.90
2018-09-28,244.00,244.00,238.50,239.90,71,63453,15222105.10
2018-09-27,245.00,245.00,239.20,240.00,109,101887,24455243.70
2018-09-26,238.00,242.90,238.00,240.00,208,377121,90430519.50
2018-09-25,245.00,245.00,236.30,237.00,191,395981,94060597.70
2018-09-21,244.50,244.50,236.30,238.60,313,170297,40693590.00
2018-09-20,250.20,254.00,243.00,244.80,319,381773,95128127.20
2018-09-19,257.00,257.80,250.00,250.30,205,447761,112170717.60
2018-09-18,268.00,268.00,254.40,255.00,306,518280,132933615.20
2018-09-17,266.80,266.90,264.50,264.80,91,52757,13978970.50
2018-09-14,269.80,269.80,264.00,265.00,190,575828,152628706.40
2018-09-13,270.00,270.00,268.50,269.90,28,1787,482211.40
2018-09-12,274.80,274.80,268.10,270.00,202,405175,109747609.70
2018-09-11,275.00,276.00,274.70,274.90,38,22893,6295522.50
2018-09-10,276.90,276.90,274.70,274.90,109,296966,81669873.30
2018-09-07,276.30,276.30,275.20,275.50,37,15755,4347217.10
2018-09-06,278.00,278.00,276.10,276.10,81,58133,16097379.90
2018-09-05,279.00,279.00,276.50,278.30,35,10600,2935593.70
2018-09-04,279.80,280.00,277.00,280.00,57,34006,9518053.60
2018-09-03,280.00,282.00,280.00,280.20,38,5742,1608802.60
2018-08-31,279.10,282.00,279.00,279.90,82,331308,93158954.40
2018-08-30,279.00,281.00,277.00,279.80,59,43804,12194777.00
2018-08-29,279.50,283.00,279.50,280.30,79,287061,80502845.40
2018-08-28,277.00,280.00,277.00,278.90,92,75118,20916338.90
2018-08-27,276.90,279.80,276.90,277.10,119,224128,62140379.60
2018-08-24,276.00,279.90,276.00,277.00,28,1642,453753.50
2018-08-23,277.90,277.90,275.00,276.10,104,110251,30399036.70
2018-08-21,278.00,278.90,276.50,276.70,90,196542,54403873.20
2018-08-20,280.50,280.50,277.00,278.00,27,4281,1191001.20
2018-08-17,279.90,280.00,276.50,278.60,83,137090,38030897.20
2018-08-16,280.00,280.00,278.10,278.20,55,70959,19784108.00
2018-08-15,278.50,280.00,278.00,280.00,44,24522,6860394.80
2018-08-14,280.00,281.00,278.00,278.60,158,106402,29725794.70
2018-08-13,281.50,282.00,280.10,280.10,94,65759,18432629.80
2018-08-10,285.00,285.00,281.70,282.00,174,186463,52793477.50
2018-08-09,284.00,288.00,281.50,284.90,53,47639,13579775.20
2018-08-08,284.00,284.00,281.00,281.70,239,512112,144290874.90
2018-08-07,287.40,287.50,283.60,284.00,157,122532,34899780.30
2018-08-06,289.00,290.90,287.00,287.00,86,25758,7397271.50
2018-08-03,290.00,291.00,287.00,288.00,171,76769,22186131.50
2018-08-02,290.10,291.00,289.90,290.00,88,74030,21468764.90
2018-08-01,295.00,295.00,288.10,290.00,236,260701,75629605.30
2018-07-31,295.10,295.10,294.00,295.00,47,9974,2939987.40
2018-07-30,297.10,297.10,295.00,295.00,76,59944,17697125.80
2018-07-26,297.50,298.30,297.50,298.00,39,23068,6874141.40
2018-07-25,299.00,300.00,297.20,298.00,67,42428,12643890.20
2018-07-24,300.00,301.00,299.00,299.80,57,69588,20879548.10
2018-07-23,304.00,304.00,300.00,301.00,73,44810,13520561.60
2018-07-20,304.00,304.90,302.00,302.00,42,36331,11041301.50
2018-07-19,296.00,302.90,295.20,301.20,123,80690,24261646.10
2018-07-18,297.00,297.00,295.20,296.10,39,18027,5343648.50
2018-07-17,297.00,299.80,294.70,296.70,59,159837,47188804.90
2018-07-16,294.00,298.00,292.00,295.10,90,49345,14473657.60
2018-07-13,295.00,295.00,293.70,294.00,76,164574,48495580.20
2018-07-12,295.00,295.00,294.00,294.70,66,140957,41557939.90
2018-07-11,294.80,296.00,294.50,295.00,83,271944,80224812.60
2018-07-10,292.00,295.00,292.00,294.30,33,6092,1789295.90
2018-07-09,296.00,297.00,292.00,294.20,82,14146,4175804.20
2018-07-06,295.00,296.00,294.00,294.90,88,95957,28297704.60
2018-07-05,295.00,295.00,290.00,292.60,151,127002,37059309.90
2018-07-04,296.00,298.00,294.30,295.00,73,12870,3797239.60
2018-07-03,298.00,299.10,294.50,295.00,139,141507,41763811.70
2018-07-02,303.10,303.10,298.00,299.10,128,94652,28350919.20
2018-06-29,303.10,304.00,302.00,303.10,63,38283,11602946.00
2018-06-28,303.50,305.00,303.00,303.60,50,9380,2848414.50
2018-06-26,305.00,305.00,303.50,304.10,111,99940,30439392.00
2018-06-25,305.00,308.00,305.00,305.50,73,35654,10876010.40
2018-06-22,305.00,306.00,305.00,305.10,61,58068,17715026.50
2018-06-21,305.00,308.80,304.00,304.60,88,109392,33366659.90
2018-06-20,312.00,312.00,304.00,304.70,199,197966,61051348.30
2018-06-19,315.00,315.00,311.00,311.30,64,29066,9057198.90
2018-06-18,314.00,315.50,314.00,314.90,132,148792,46868461.70
2018-06-14,313.80,314.00,313.00,313.60,74,25138,7882381.90
2018-06-13,313.90,313.90,311.40,312.70,43,126365,39646348.70
2018-06-12,315.00,315.00,313.00,313.90,49,41432,13002663.20
2018-06-11,315.10,316.80,314.00,314.60,59,34619,10901118.50
2018-06-08,318.00,319.00,316.00,316.40,113,115767,36754051.90
2018-06-07,319.00,319.50,317.90,318.90,158,187345,59761641.20
2018-06-06,318.40,319.30,318.10,319.00,183,266636,85061889.00
2018-06-05,311.50,319.50,311.50,318.40,391,740142,235039922.90
2018-06-04,309.20,311.40,309.20,311.00,143,140547,43617179.40
2018-06-01,305.00,310.50,305.00,309.90,217,436011,135067646.40
2018-05-31,305.00,305.90,304.00,305.00,159,1190483,363068153.10
2018-05-30,309.90,309.90,304.00,304.60,216,413719,127304618.10
2018-05-28,306.50,310.00,306.50,309.80,174,107066,33096540.60
2018-05-25,308.00,308.00,305.10,307.90,65,30452,9367028.00
2018-05-24,304.90,308.00,304.90,307.70,150,103053,31659730.50
2018-05-23,305.00,305.90,304.10,304.30,51,27648,8429678.50
2018-05-22,308.50,308.50,303.00,303.70,62,9912,3015385.50
2018-05-21,302.00,309.00,302.00,308.00,312,772894,237830073.90
2018-05-18,299.40,301.90,299.40,301.00,206,153141,45951988.10
2018-05-17,298.50,299.10,298.50,298.90,57,60133,17958230.40
2018-05-16,298.90,299.00,298.00,298.30,96,141497,42209578.80
2018-05-15,299.00,299.90,298.30,298.50,112,222811,66516691.60
2018-05-14,300.00,300.00,298.50,298.50,109,58664,17588125.20
2018-05-11,299.90,301.50,299.00,299.30,180,231197,69219383.40
2018-05-10,299.00,301.00,297.10,299.90,312,146670,43902973.60
2018-05-09,298.00,301.50,298.00,300.00,211,240212,71997547.10
2018-05-08,298.80,299.30,296.10,297.90,89,132524,39198680.00
2018-05-04,300.90,300.90,298.00,298.80,94,40200,12028466.30
