Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close(Rs.),Trade Volume,Share Volume,Turnover(Rs.)
2018-10-31,65.00,65.60,65.00,65.00,19,7982,522247.50
2018-10-30,65.70,66.00,65.60,65.70,10,7033,462414.40
2018-10-29,65.50,67.00,65.00,65.50,13,1703,111442.00
2018-10-26,62.00,63.80,63.70,62.00,2,40,2550.00
2018-10-25,62.00,63.90,61.60,62.00,7,120,7439.20
2018-10-22,62.00,64.40,62.00,62.00,3,3471,215204.40
2018-10-19,61.40,62.00,61.30,61.40,2,149,9154.70
2018-10-18,64.90,65.00,62.40,64.90,27,32844,2130989.30
2018-10-17,62.90,63.00,62.90,62.90,4,2112,132921.90
2018-10-16,62.90,63.00,60.20,62.90,10,714,43939.10
2018-10-15,61.00,63.40,60.00,61.00,35,21502,1292847.70
2018-10-12,61.70,63.50,61.00,61.70,2,34,2076.50
2018-10-11,61.70,63.60,61.50,61.70,18,4596,284995.60
2018-10-10,63.70,65.30,63.50,63.70,4,901,57365.30
2018-10-09,64.00,67.50,64.00,64.00,6,205,13133.50
2018-10-08,64.00,66.90,64.00,64.00,8,34037,2178419.40
2018-10-05,66.00,66.50,64.00,66.00,23,7770,509195.80
2018-10-04,65.00,65.00,63.20,65.00,28,10745,698008.30
2018-10-03,63.00,63.00,60.60,63.00,25,19848,1246658.90
2018-10-02,61.70,63.40,61.00,61.70,34,12774,791538.10
2018-10-01,63.50,64.90,62.00,63.50,10,2102,131801.00
2018-09-28,63.50,63.50,63.50,63.50,7,2555,162242.50
2018-09-27,64.50,64.50,64.50,64.50,4,450,29025.00
2018-09-26,62.00,65.00,62.00,65.00,9,2141,138896.30
2018-09-25,63.10,63.10,60.00,60.60,41,11094,684012.80
2018-09-21,63.50,63.50,63.10,63.10,5,1000,63215.00
2018-09-20,63.20,63.20,63.10,63.20,16,1561,98644.10
2018-09-19,63.60,64.90,63.00,64.90,20,1549,99136.70
2018-09-18,66.60,66.60,63.70,64.00,17,9301,601780.00
2018-09-17,65.00,66.00,65.00,65.30,5,286,18622.40
2018-09-14,65.10,66.90,65.10,65.10,3,122,7944.00
2018-09-13,66.10,66.80,65.10,65.20,10,2679,177184.70
2018-09-11,67.00,67.00,66.30,66.40,9,828,55302.00
2018-09-10,68.50,68.50,67.00,67.00,5,6025,403705.00
